codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00425010001;2001-07-26;06:00:00;2001;4,1;4,1;GWB-S6;2001-07-26 06:00:00
P00010;A;00425010001;2001-07-26;12:00:00;2001;4,1;4,1;GWB-S6;2001-07-26 12:00:00
P00010;A;00425010001;2001-07-26;18:00:00;2001;4,1;4,1;GWB-S6;2001-07-26 18:00:00
P00010;A;00425010001;2001-07-27;00:00:00;2001;4,1;4,1;GWB-S6;2001-07-27 00:00:00
P00010;A;00425010001;2001-07-27;06:00:00;2001;4,1;4,1;GWB-S6;2001-07-27 06:00:00
P00010;A;00425010001;2001-07-27;12:00:00;2001;4,12;4,12;GWB-S6;2001-07-27 12:00:00
P00010;A;00425010001;2001-07-27;18:00:00;2001;4,16;4,16;GWB-S6;2001-07-27 18:00:00
P00010;A;00425010001;2001-07-28;00:00:00;2001;4,12;4,12;GWB-S6;2001-07-28 00:00:00
P00010;A;00425010001;2001-07-28;06:00:00;2001;4,11;4,11;GWB-S6;2001-07-28 06:00:00
P00010;A;00425010001;2001-07-28;12:00:00;2001;4,15;4,15;GWB-S6;2001-07-28 12:00:00
P00010;A;00425010001;2001-07-28;18:00:00;2001;4,48;4,48;GWB-S6;2001-07-28 18:00:00
P00010;A;00425010001;2001-07-29;00:00:00;2001;4,16;4,16;GWB-S6;2001-07-29 00:00:00
P00010;A;00425010001;2001-07-29;06:00:00;2001;4,57;4,57;GWB-S6;2001-07-29 06:00:00
P00010;A;00425010001;2001-07-29;12:00:00;2001;4,19;4,19;GWB-S6;2001-07-29 12:00:00
P00010;A;00425010001;2001-07-29;18:00:00;2001;4,16;4,16;GWB-S6;2001-07-29 18:00:00
P00010;A;00425010001;2001-07-30;00:00:00;2001;4,16;4,16;GWB-S6;2001-07-30 00:00:00
P00010;A;00425010001;2001-07-30;06:00:00;2001;4,14;4,14;GWB-S6;2001-07-30 06:00:00
P00010;A;00425010001;2001-07-30;12:00:00;2001;4,2;4,2;GWB-S6;2001-07-30 12:00:00
P00010;A;00425010001;2001-07-30;18:00:00;2001;4,5;4,5;GWB-S6;2001-07-30 18:00:00
P00010;A;00425010001;2001-07-31;00:00:00;2001;4,36;4,36;GWB-S6;2001-07-31 00:00:00
P00010;A;00425010001;2001-07-31;06:00:00;2001;4,58;4,58;GWB-S6;2001-07-31 06:00:00
P00010;A;00425010001;2001-07-31;12:00:00;2001;4,78;4,78;GWB-S6;2001-07-31 12:00:00
P00010;A;00425010001;2001-07-31;18:00:00;2001;4,4;4,4;GWB-S6;2001-07-31 18:00:00
