codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00417910001;2001-01-19;16:00:00;2001;4,16;4,16;GWB-S6;2001-01-19 16:00:00
P00010;A;00417910001;2001-01-19;20:00:00;2001;4,29;4,29;GWB-S6;2001-01-19 20:00:00
P00010;A;00417910001;2001-01-20;00:00:00;2001;4,26;4,26;GWB-S6;2001-01-20 00:00:00
P00010;A;00417910001;2001-01-20;04:00:00;2001;4,25;4,25;GWB-S6;2001-01-20 04:00:00
P00010;A;00417910001;2001-01-20;08:00:00;2001;4,12;4,12;GWB-S6;2001-01-20 08:00:00
P00010;A;00417910001;2001-01-20;12:00:00;2001;4,1;4,1;GWB-S6;2001-01-20 12:00:00
P00010;A;00417910001;2001-01-20;16:00:00;2001;4,09;4,09;GWB-S6;2001-01-20 16:00:00
P00010;A;00417910001;2001-01-20;20:00:00;2001;4,08;4,08;GWB-S6;2001-01-20 20:00:00
P00010;A;00417910001;2001-01-21;00:00:00;2001;4,07;4,07;GWB-S6;2001-01-21 00:00:00
P00010;A;00417910001;2001-01-21;04:00:00;2001;4,06;4,06;GWB-S6;2001-01-21 04:00:00
P00010;A;00417910001;2001-01-21;08:00:00;2001;4,05;4,05;GWB-S6;2001-01-21 08:00:00
P00010;A;00417910001;2001-01-21;12:00:00;2001;4,05;4,05;GWB-S6;2001-01-21 12:00:00
P00010;A;00417910001;2001-01-21;16:00:00;2001;4,04;4,04;GWB-S6;2001-01-21 16:00:00
P00010;A;00417910001;2001-01-21;20:00:00;2001;4,04;4,04;GWB-S6;2001-01-21 20:00:00
P00010;A;00417910001;2001-01-22;00:00:00;2001;4,04;4,04;GWB-S6;2001-01-22 00:00:00
P00010;A;00417910001;2001-01-22;04:00:00;2001;4,03;4,03;GWB-S6;2001-01-22 04:00:00
P00010;A;00417910001;2001-01-22;08:00:00;2001;4,03;4,03;GWB-S6;2001-01-22 08:00:00
P00010;A;00417910001;2001-01-22;12:00:00;2001;4,16;4,16;GWB-S6;2001-01-22 12:00:00
P00010;A;00417910001;2001-01-22;16:00:00;2001;4,11;4,11;GWB-S6;2001-01-22 16:00:00
P00010;A;00417910001;2001-01-22;20:00:00;2001;4,17;4,17;GWB-S6;2001-01-22 20:00:00
P00010;A;00417910001;2001-01-23;00:00:00;2001;4,14;4,14;GWB-S6;2001-01-23 00:00:00
P00010;A;00417910001;2001-01-23;04:00:00;2001;4,12;4,12;GWB-S6;2001-01-23 04:00:00
P00010;A;00417910001;2001-01-23;08:00:00;2001;4,12;4,12;GWB-S6;2001-01-23 08:00:00
P00010;A;00417910001;2001-01-23;12:00:00;2001;4,15;4,15;GWB-S6;2001-01-23 12:00:00
P00010;A;00417910001;2001-01-23;16:00:00;2001;4,16;4,16;GWB-S6;2001-01-23 16:00:00
P00010;A;00417910001;2001-01-23;20:00:00;2001;4,19;4,19;GWB-S6;2001-01-23 20:00:00
P00010;A;00417910001;2001-01-24;00:00:00;2001;4,19;4,19;GWB-S6;2001-01-24 00:00:00
P00010;A;00417910001;2001-01-24;04:00:00;2001;4,15;4,15;GWB-S6;2001-01-24 04:00:00
P00010;A;00417910001;2001-01-24;08:00:00;2001;4,21;4,21;GWB-S6;2001-01-24 08:00:00
P00010;A;00417910001;2001-01-24;12:00:00;2001;4,31;4,31;GWB-S6;2001-01-24 12:00:00
P00010;A;00417910001;2001-01-24;16:00:00;2001;4,27;4,27;GWB-S6;2001-01-24 16:00:00
P00010;A;00417910001;2001-01-24;20:00:00;2001;4,27;4,27;GWB-S6;2001-01-24 20:00:00
P00010;A;00417910001;2001-01-25;00:00:00;2001;4,24;4,24;GWB-S6;2001-01-25 00:00:00
P00010;A;00417910001;2001-01-25;04:00:00;2001;4,17;4,17;GWB-S6;2001-01-25 04:00:00
P00010;A;00417910001;2001-01-25;08:00:00;2001;4,29;4,29;GWB-S6;2001-01-25 08:00:00
P00010;A;00417910001;2001-01-25;12:00:00;2001;4,24;4,24;GWB-S6;2001-01-25 12:00:00
P00010;A;00417910001;2001-01-25;16:00:00;2001;4,35;4,35;GWB-S6;2001-01-25 16:00:00
P00010;A;00417910001;2001-01-25;20:00:00;2001;4,36;4,36;GWB-S6;2001-01-25 20:00:00
P00010;A;00417910001;2001-01-26;00:00:00;2001;4,33;4,33;GWB-S6;2001-01-26 00:00:00
P00010;A;00417910001;2001-01-26;04:00:00;2001;4,21;4,21;GWB-S6;2001-01-26 04:00:00
P00010;A;00417910001;2001-01-26;08:00:00;2001;4,32;4,32;GWB-S6;2001-01-26 08:00:00
P00010;A;00417910001;2001-01-26;12:00:00;2001;4,34;4,34;GWB-S6;2001-01-26 12:00:00
P00010;A;00417910001;2001-01-26;16:00:00;2001;4,29;4,29;GWB-S6;2001-01-26 16:00:00
P00010;A;00417910001;2001-01-26;20:00:00;2001;4,34;4,34;GWB-S6;2001-01-26 20:00:00
P00010;A;00417910001;2001-01-27;00:00:00;2001;4,34;4,34;GWB-S6;2001-01-27 00:00:00
P00010;A;00417910001;2001-01-27;04:00:00;2001;4,22;4,22;GWB-S6;2001-01-27 04:00:00
P00010;A;00417910001;2001-01-27;08:00:00;2001;4,2;4,2;GWB-S6;2001-01-27 08:00:00
P00010;A;00417910001;2001-01-27;12:00:00;2001;4,17;4,17;GWB-S6;2001-01-27 12:00:00
P00010;A;00417910001;2001-01-27;16:00:00;2001;4,16;4,16;GWB-S6;2001-01-27 16:00:00
P00010;A;00417910001;2001-01-27;20:00:00;2001;4,14;4,14;GWB-S6;2001-01-27 20:00:00
P00010;A;00417910001;2001-01-28;00:00:00;2001;4,14;4,14;GWB-S6;2001-01-28 00:00:00
P00010;A;00417910001;2001-01-28;04:00:00;2001;4,12;4,12;GWB-S6;2001-01-28 04:00:00
